sourcePort,destinationPort,protocolName,IPgeo,IP Region,deviceId,event_category,categoryDescription,eventDescription,relevance,credibility,severity,magnitude,Event_DateTime,eventCount,IP
58680,443,tcp_ip,United States,R1,30096,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.128.2.1
58678,443,tcp_ip,United States,R1,30096,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.131.2.1
58676,443,tcp_ip,United States,R1,30096,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.128.2.1
58666,53,udp_ip,United States,R1,30096,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:53 PM",1,10.128.2.1
58544,53,udp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.128.2.1
58497,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.131.2.1
58333,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.130.2.1
58143,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.0.1
58142,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.128.2.1
58141,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.130.2.1
57979,53,udp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.131.2.1
57784,80,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.128.2.1
57738,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.128.2.1
